U_B / V	U_A / V
0.15	-0.07
0.30	-0.06
0.00	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.15	-0.07
0.30	-0.06
0.45	-0.07
0.75	-0.06
0.90	-0.07
0.90	-0.07
1.05	-0.07
1.50	-0.07
1.35	-0.07
1.50	-0.06
1.65	-0.07
1.80	-0.07
2.10	-0.07
2.10	-0.07
2.25	-0.07
2.40	-0.07
2.55	-0.06
2.70	-0.06
2.85	-0.06
2.85	-0.07
3.15	-0.06
3.30	-0.07
3.30	-0.07
3.45	-0.06
3.60	-0.07
3.90	-0.07
3.90	-0.07
4.05	-0.07
4.20	-0.07
4.35	-0.07
4.50	-0.07
4.65	-0.07
4.95	-0.06
5.10	-0.07
5.10	-0.06
5.25	-0.07
5.25	-0.07
5.55	-0.07
5.70	-0.07
5.85	-0.07
5.85	-0.07
6.15	-0.07
6.15	-0.07
6.45	-0.07
6.45	-0.07
6.75	-0.07
6.90	-0.07
6.90	-0.07
7.05	-0.07
7.20	-0.07
7.35	-0.07
7.50	-0.07
7.65	-0.06
7.80	-0.07
7.95	-0.07
8.25	-0.07
8.25	-0.06
8.40	-0.07
8.55	-0.07
8.70	-0.07
8.85	-0.07
9.00	-0.06
9.15	-0.06
9.30	-0.06
9.45	-0.06
9.60	-0.06
9.75	-0.06
9.90	-0.06
10.05	-0.06
10.05	-0.06
10.35	-0.07
10.50	-0.06
10.50	-0.07
10.65	-0.06
10.80	-0.07
10.95	-0.06
11.25	-0.06
11.25	-0.06
11.40	-0.06
11.70	-0.06
11.70	-0.06
11.85	-0.06
12.15	-0.06
12.30	-0.06
12.30	-0.06
12.45	-0.06
12.60	-0.06
12.75	-0.06
12.90	-0.07
13.05	-0.06
13.20	-0.07
13.65	-0.06
13.50	-0.06
13.50	-0.06
14.10	-0.07
13.95	-0.06
13.95	-0.07
14.25	-0.06
14.40	-0.06
14.40	-0.06
14.55	-0.07
14.85	-0.06
15.00	-0.07
15.00	-0.06
15.15	-0.07
15.30	-0.06
15.45	-0.06
15.60	-0.06
15.90	-0.06
16.05	-0.06
16.05	-0.06
16.35	-0.06
16.35	-0.06
16.50	-0.05
16.65	-0.05
16.80	-0.06
17.10	-0.05
17.10	-0.06
17.25	-0.05
17.40	-0.05
17.55	-0.05
17.70	-0.06
18.00	-0.05
17.85	-0.05
18.00	-0.05
18.30	-0.05
18.45	-0.05
18.45	-0.06
18.60	-0.05
18.75	-0.06
18.90	-0.06
19.20	-0.06
19.20	-0.06
19.50	-0.06
19.50	-0.06
19.65	-0.07
19.80	-0.06
19.95	-0.06
20.10	-0.06
20.25	-0.06
20.40	-0.06
20.55	-0.06
20.85	-0.05
20.85	-0.05
20.85	-0.05
21.00	-0.05
21.30	-0.04
21.45	-0.04
21.60	-0.04
21.75	-0.04
21.75	-0.04
22.05	-0.04
22.20	-0.04
22.20	-0.03
22.35	-0.04
22.50	-0.04
22.65	-0.04
22.80	-0.04
22.95	-0.04
23.10	-0.04
23.25	-0.05
23.40	-0.05
23.55	-0.05
23.70	-0.05
23.85	-0.05
24.00	-0.05
24.15	-0.06
24.30	-0.05
24.45	-0.06
