schwelle*10/V   k_mess  k_mon   z1_mess z1_mon
0.5             1133    526     49651   20073
0.601           999     454     34675   20028
0.702           1164    528     26839   22577
0.797           991     493     15956   20339
0.898           1001    484     11103   20148
0.998           1030    508     9205    20173
1.098           1024    536     7064    20664
1.151		1140	584	8595	25369
1.176		894	452	5517	21329
1.201           1062    540     6783    21997
1.220		883	434	6428	21368
1.249		877	469	6291	19788
1.305           1018    508     5899    22076
1.405           971     522     4553    20722
1.500           878     470     4917    19913
1.604           879     499     4252    19979
1.701           868     489     3713    19964
1.804           923     506     4370    20657
1.894           912     501     4406    21832
1.986           911     508     3995    20081
